"access1-0","ACCESS1.0","CSIRO-BOM"
"bcc-csm1-1","BCC-CSM1.1","BCC"
"bnu-esm","BNU-ESM","GCESS"
"canam4","CanAM4","CCCMA"
"cancm4","CanCM4","CCCMA"
"canesm2","CanESM2","CCCMA"
"ccsm4","CCSM4","NCAR"
"ccsm4-rsmas","CCSM4-RSMAS","RSMAS"
"cesm1-bgc","CESM1(BGC)","NCAR"
"cesm1-cam5","CESM1(CAM5)","NCAR"
"cesm1-chem","CESM1(CHEM)","NCAR"
"cesm1-chem-cam5","CESM1(CHEM,CAM5)","NCAR"
"cesm1-waccm","CESM1(WACCM)","NCAR"
"cfsv2-2011","CFSv2-2011","NCAR"
"cmcc-cesm","CMCC-CESM","CMCC"
"cmcc-cm","CMCC-CM","CMCC"
"cmcc-cms","CMCC-CMS","CMCC"
"cnrm-cm5","CNRM-CM5","CNRM-CERFACS"
"csiro-mk3-6-0","CSIRO-Mk3.6","CSIRO-QCCCE"
"ec-earth","EC-EARTH","EC-EARTH"
"fgoals-g2","FGOALS-g2","LASG-IAP"
"fgoals-gl","FGOALS-gl","LASG-IAP"
"fgoals-s2","FGOALS-s2","LASG-IAP"
"fio-esm","FIO-ESM","FIO"
"geos-5","GEOS-5","NASA-GMAO"
"gfdl-cm2p1","GFDL-CM2.1","NOAA-GFDL"
"gfdl-cm3","GFDL-CM3","NOAA-GFDL"
"gfdl-esm2g","GFDL-ESM2G","NOAA-GFDL"
"gfdl-esm2m","GFDL-ESM2M","NOAA-GFDL"
"gfdl-hiram-c180","GFDL-HIRAM-C180","NOAA-GFDL"
"gfdl-hiram-c360","GFDL-HIRAM-C360","NOAA-GFDL"
"giss-e2-h","GISS-E2-H","NASA-GISS"
"giss-e2-h-cc","GISS-E2-H-CC","NASA-GISS"
"giss-e2-r","GISS-E2-R","NASA-GISS"
"giss-e2-r-cc","GISS-E2-R-CC","NASA-GISS"
"giss-e2cs-h","GISS-E2CS-h","NASA-GISS"
"giss-e2cs-r","GISS-E2CS-R","NASA-GISS"
"hadcm3","HadCM3","MOHC"
"hadcm3q","HadCM3Q","MOHC"
"hadgem2-ao","HadGEM2-AO","NMR-KMA"
"hadgem2-a","HadGEM2-A","MOHC"
"hadgem2-cc","HadGEM2-CC","MOHC"
"hadgem2-es","HadGEM2-ES","MOHC"
"higem1-2","HiGEM1.2","Natural and Environmental Research Council/Met Office Hadley Centre"
"inmcm4","INM-CM4","INM"
"ipsl-cm5a-lr","IPSL-CM5A-LR","IPSL"
"ipsl-cm5a-mr","IPSL-CM5A-MR","IPSL"
"ipsl-cm5b","IPSL-CM5B","IPSL"
"miroc-esm","MIROC-ESM","MIROC"
"miroc-esm-chem","MIROC-ESM-CHEM","MIROC"
"miroc4h","MIROC4h","MIROC"
"miroc4m","MIROC4m","MIROC"
"miroc5","MIROC5","MIROC"
"mpi-esm-hr","MPI-ESM-HR","MPI-M"
"mpi-esm-mr","MPI-ESM-MR","MPI-M"
"mpi-esm-lr","MPI-ESM-LR","MPI-M"
"mpi-esm-p","MPI-ESM-P","MPI-M"
"mri-agcm3-2h","MRI-AGCM3.2H","MRI"
"mri-agcm3-2s","MRI-AGCM3.2S","MRI"
"mri-cgcm3","MRI-CGCM3","MRI"
"mri-esm1","MRI-ESM1","MRI"
"noresm-m","NorESM-M","NCC"
