region,domain_id,domain,tlc_lon,tlc_lat,cnb_lon,cnb_lat,trc_lon,trc_lat,cwb_lon,cwb_lat,cpd_lon,cpd_lat,ceb_lon,ceb_lat,blc_lon,blc_lat,csb_lon,csb_lat,brc_lon,brc_lat
1,SAM,South America,273.26,18.50,300.56,15.40,327.52,17.23,265.88,-17.30,299.70,-21.11,333.36,-18.84,254.28,-52.66,298.13,-57.61,343.02,-54.6
2,CAM,Central America,235.74,28.79,286.45,34.83,337.78,31.40,241.11,4.68,287.29,10.20,333.40,7.10,246.10,-19.46,288.0,-14.42,329.46,-17.23
3,NAM,North America,189.26,59.28,263.0,75.88,336.74,59.28,218.32,37.55,263.0,47.28,307.68,37.55,232.84,12.56,263.0,19.12,293.16,12.55
4,EUR,Europe,315.86,60.21,1.92,71.84,64.4,66.65,338.23,42.36,9.75,49.68,44.77,46.72,350.01,22.2,12.48,27.34,36.30,25.36
5,MED,Mediterranean,339.79,50.65,15.0,56.66,50.85,52.34,348.12,38.35,15.75,43.02,43.41,39.70,353.96,25.63,16.22,29.39,38.33,26.73
6,MNA,Middle East North Africa,333.0,45.0,24.5,45.0,76.0,45.0,333.0,19.0,24.5,19.0,76.0,19.0,333.0,-7.0,24.5,-7.0,76.0,-7.0
7,AFR,Africa,335.36,42.24,17.60,42.24,60.28,42.24,335.36,-1.32,17.60,-1.32,60.28,-1.32,335.36,-45.76,17.60,-45.76,60.28,-45.76
8,CAS,Central Asia,11.05,54.76,73.15,69.37,139.13,56.48,120.10,39.45,74.64,47.82,119.82,30.07,42.41,18.43,75.24,25.83,108.44,19.39
9,SAS,South Asia,19.88,43.5,68.41,45.07,115.55,41.0,23.48,15.51,67.18,16.93,110.47,13.09,26.19,-12.97,66.29,-11.66,106.43,-15.23
10,EAS,East Asia,51.59,50.50,116.70,61.90,181.50,50.31,67.11,25.72,116.57,34.40,165.94,25.56,76.91,-0.10,116.51,6.90,156.08,-0.24
11,SEA,South-East Asia,88.96,29.75,118.01,29.75,147.06,29.75,88.96,7.40,118.01,7.40,147.06,7.40,88.96,-14.95,118.01,-14.95,147.06,-14.95
12,AUS,Australasia,110.19,8.76,146.16,3.87,182.02,12.21,101.41,-18.03,147.63,-24.26,199.57,-27.90,89.25,-44.28,150.03,-52.36,206.57,-39.25
13,ANT,Antarctica,332.311,-43.915,14.400,-59.849,62.706,-48.232,294.322,-53.896,338.415,-85.328,104.333,-59.949,252.003,-48.809,206.965,-66.812,152.334,-53.459
14,ARC,Arctic,41.236,51.120,1.986,62.631,320.634,52.534,91.777,60.200,147.918,87.936,267.835,62.384,137.572,47.629,178.038,59.231,220.333,49.074
