,id,version,access,cf_standard_name,data_node,dataset_id_template_,datetime_start,datetime_stop,directory_format_template_,domain,driving_model,east_degrees,ensemble,experiment,experiment_family,geo,geo_units,index_node,instance_id,institute,latest,master_id,north_degrees,number_of_files,product,project,rcm_name,rcm_version,replica,size,south_degrees,time_frequency,title,type,variable,variable_long_name,variable_units,west_degrees,retracted,_timestamp,score,_version_
0,cordex.output.EUR-11.MOHC.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1.HadREM3-GA7-05.v2.1hr.pr.v20201111|esgf.ceda.ac.uk,20201111,"['HTTPServer', 'OPENDAP']",['precipitation_flux'],esgf.ceda.ac.uk,['cordex.%(product)s.%(domain)s.%(institute)s.%(driving_model)s.%(experiment)s.%(ensemble)s.%(rcm_name)s.%(rcm_version)s.%(time_frequency)s.%(variable)s'],1951-12-01T00:30:00Z,2010-12-31T23:30:00Z,['%(root)s/%(project)s/%(product)s/%(domain)s/%(institute)s/%(driving_model)s/%(experiment)s/%(ensemble)s/%(rcm_model)s/%(rcm_version)s/%(time_frequency)s/%(variable)s/%(version)s'],['EUR-11'],['CNRM-CERFACS-CNRM-CM5'],18.154968,['r1i1p1'],['historical'],"['All', 'Historical']","['ENVELOPE(-28.37503, 18.154968, 21.835, -23.375)']",['degrees'],esgf.ceda.ac.uk,cordex.output.EUR-11.MOHC.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1.HadREM3-GA7-05.v2.1hr.pr.v20201111,['MOHC'],True,cordex.output.EUR-11.MOHC.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1.HadREM3-GA7-05.v2.1hr.pr,21.835,60,['output'],['CORDEX'],['HadREM3-GA7-05'],['v2'],False,245182177572,-23.375,['1hr'],cordex.output.EUR-11.MOHC.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1.HadREM3-GA7-05.v2.1hr.pr,Dataset,['pr'],['Precipitation'],['kg m-2 s-1'],-28.37503,False,2020-12-16T17:21:49.782Z,1.0,1803477316152590339
1,cordex.output.EUR-11.MOHC.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1.HadREM3-GA7-05.v2.3hr.clt.v20201111|esgf.ceda.ac.uk,20201111,"['HTTPServer', 'OPENDAP']",['cloud_area_fraction'],esgf.ceda.ac.uk,['cordex.%(product)s.%(domain)s.%(institute)s.%(driving_model)s.%(experiment)s.%(ensemble)s.%(rcm_name)s.%(rcm_version)s.%(time_frequency)s.%(variable)s'],1951-12-01T01:30:00Z,2010-12-31T22:30:00Z,['%(root)s/%(project)s/%(product)s/%(domain)s/%(institute)s/%(driving_model)s/%(experiment)s/%(ensemble)s/%(rcm_model)s/%(rcm_version)s/%(time_frequency)s/%(variable)s/%(version)s'],['EUR-11'],['CNRM-CERFACS-CNRM-CM5'],18.154968,['r1i1p1'],['historical'],"['All', 'Historical']","['ENVELOPE(-28.37503, 18.154968, 21.835, -23.375)']",['degrees'],esgf.ceda.ac.uk,cordex.output.EUR-11.MOHC.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1.HadREM3-GA7-05.v2.3hr.clt.v20201111,['MOHC'],True,cordex.output.EUR-11.MOHC.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1.HadREM3-GA7-05.v2.3hr.clt,21.835,60,['output'],['CORDEX'],['HadREM3-GA7-05'],['v2'],False,41409262943,-23.375,['3hr'],cordex.output.EUR-11.MOHC.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1.HadREM3-GA7-05.v2.3hr.clt,Dataset,['clt'],['Total Cloud Fraction'],['%'],-28.37503,False,2020-12-16T17:10:38.603Z,1.0,1803477316155736064
2,cordex.output.EUR-11.MOHC.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1.HadREM3-GA7-05.v2.3hr.hfls.v20201111|esgf.ceda.ac.uk,20201111,"['HTTPServer', 'OPENDAP']",['surface_upward_latent_heat_flux'],esgf.ceda.ac.uk,['cordex.%(product)s.%(domain)s.%(institute)s.%(driving_model)s.%(experiment)s.%(ensemble)s.%(rcm_name)s.%(rcm_version)s.%(time_frequency)s.%(variable)s'],1951-12-01T01:30:00Z,2010-12-31T22:30:00Z,['%(root)s/%(project)s/%(product)s/%(domain)s/%(institute)s/%(driving_model)s/%(experiment)s/%(ensemble)s/%(rcm_model)s/%(rcm_version)s/%(time_frequency)s/%(variable)s/%(version)s'],['EUR-11'],['CNRM-CERFACS-CNRM-CM5'],18.154968,['r1i1p1'],['historical'],"['All', 'Historical']","['ENVELOPE(-28.37503, 18.154968, 21.835, -23.375)']",['degrees'],esgf.ceda.ac.uk,cordex.output.EUR-11.MOHC.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1.HadREM3-GA7-05.v2.3hr.hfls.v20201111,['MOHC'],True,cordex.output.EUR-11.MOHC.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1.HadREM3-GA7-05.v2.3hr.hfls,21.835,60,['output'],['CORDEX'],['HadREM3-GA7-05'],['v2'],False,82282548911,-23.375,['3hr'],cordex.output.EUR-11.MOHC.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1.HadREM3-GA7-05.v2.3hr.hfls,Dataset,['hfls'],['Surface Upward Latent Heat Flux'],['W m-2'],-28.37503,False,2020-12-16T17:41:49.603Z,1.0,1803477316156784640
3,cordex.output.EUR-11.MOHC.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1.HadREM3-GA7-05.v2.3hr.hfss.v20201111|esgf.ceda.ac.uk,20201111,"['HTTPServer', 'OPENDAP']",['surface_upward_sensible_heat_flux'],esgf.ceda.ac.uk,['cordex.%(product)s.%(domain)s.%(institute)s.%(driving_model)s.%(experiment)s.%(ensemble)s.%(rcm_name)s.%(rcm_version)s.%(time_frequency)s.%(variable)s'],1951-12-01T01:30:00Z,2010-12-31T22:30:00Z,['%(root)s/%(project)s/%(product)s/%(domain)s/%(institute)s/%(driving_model)s/%(experiment)s/%(ensemble)s/%(rcm_model)s/%(rcm_version)s/%(time_frequency)s/%(variable)s/%(version)s'],['EUR-11'],['CNRM-CERFACS-CNRM-CM5'],18.154968,['r1i1p1'],['historical'],"['All', 'Historical']","['ENVELOPE(-28.37503, 18.154968, 21.835, -23.375)']",['degrees'],esgf.ceda.ac.uk,cordex.output.EUR-11.MOHC.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1.HadREM3-GA7-05.v2.3hr.hfss.v20201111,['MOHC'],True,cordex.output.EUR-11.MOHC.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1.HadREM3-GA7-05.v2.3hr.hfss,21.835,60,['output'],['CORDEX'],['HadREM3-GA7-05'],['v2'],False,82556263552,-23.375,['3hr'],cordex.output.EUR-11.MOHC.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1.HadREM3-GA7-05.v2.3hr.hfss,Dataset,['hfss'],['Surface Upward Sensible Heat Flux'],['W m-2'],-28.37503,False,2020-12-16T17:31:53.367Z,1.0,1803477316158881792
4,cordex.output.EUR-11.MOHC.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1.HadREM3-GA7-05.v2.3hr.hurs.v20201111|esgf.ceda.ac.uk,20201111,"['HTTPServer', 'OPENDAP']",['relative_humidity'],esgf.ceda.ac.uk,['cordex.%(product)s.%(domain)s.%(institute)s.%(driving_model)s.%(experiment)s.%(ensemble)s.%(rcm_name)s.%(rcm_version)s.%(time_frequency)s.%(variable)s'],1951-12-01T00:00:00Z,2010-12-31T21:00:00Z,['%(root)s/%(project)s/%(product)s/%(domain)s/%(institute)s/%(driving_model)s/%(experiment)s/%(ensemble)s/%(rcm_model)s/%(rcm_version)s/%(time_frequency)s/%(variable)s/%(version)s'],['EUR-11'],['CNRM-CERFACS-CNRM-CM5'],18.154968,['r1i1p1'],['historical'],"['All', 'Historical']","['ENVELOPE(-28.37503, 18.154968, 21.835, -23.375)']",['degrees'],esgf.ceda.ac.uk,cordex.output.EUR-11.MOHC.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1.HadREM3-GA7-05.v2.3hr.hurs.v20201111,['MOHC'],True,cordex.output.EUR-11.MOHC.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1.HadREM3-GA7-05.v2.3hr.hurs,21.835,60,['output'],['CORDEX'],['HadREM3-GA7-05'],['v2'],False,47392218930,-23.375,['3hr'],cordex.output.EUR-11.MOHC.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1.HadREM3-GA7-05.v2.3hr.hurs,Dataset,['hurs'],['Near-Surface Relative Humidity'],['%'],-28.37503,False,2020-12-16T17:31:48.998Z,1.0,1803477316160978944
5,cordex.output.EUR-11.MOHC.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1.HadREM3-GA7-05.v2.3hr.huss.v20201111|esgf.ceda.ac.uk,20201111,"['HTTPServer', 'OPENDAP']",['specific_humidity'],esgf.ceda.ac.uk,['cordex.%(product)s.%(domain)s.%(institute)s.%(driving_model)s.%(experiment)s.%(ensemble)s.%(rcm_name)s.%(rcm_version)s.%(time_frequency)s.%(variable)s'],1951-12-01T00:00:00Z,2010-12-31T21:00:00Z,['%(root)s/%(project)s/%(product)s/%(domain)s/%(institute)s/%(driving_model)s/%(experiment)s/%(ensemble)s/%(rcm_model)s/%(rcm_version)s/%(time_frequency)s/%(variable)s/%(version)s'],['EUR-11'],['CNRM-CERFACS-CNRM-CM5'],18.154968,['r1i1p1'],['historical'],"['All', 'Historical']","['ENVELOPE(-28.37503, 18.154968, 21.835, -23.375)']",['degrees'],esgf.ceda.ac.uk,cordex.output.EUR-11.MOHC.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1.HadREM3-GA7-05.v2.3hr.huss.v20201111,['MOHC'],True,cordex.output.EUR-11.MOHC.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1.HadREM3-GA7-05.v2.3hr.huss,21.835,60,['output'],['CORDEX'],['HadREM3-GA7-05'],['v2'],False,85656140812,-23.375,['3hr'],cordex.output.EUR-11.MOHC.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1.HadREM3-GA7-05.v2.3hr.huss,Dataset,['huss'],['Near-Surface Specific Humidity'],['1'],-28.37503,False,2020-12-16T17:51:51.103Z,1.0,1803477316163076096
6,cordex.output.EUR-11.MOHC.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1.HadREM3-GA7-05.v2.3hr.pr.v20201111|esgf.ceda.ac.uk,20201111,"['HTTPServer', 'OPENDAP']",['precipitation_flux'],esgf.ceda.ac.uk,['cordex.%(product)s.%(domain)s.%(institute)s.%(driving_model)s.%(experiment)s.%(ensemble)s.%(rcm_name)s.%(rcm_version)s.%(time_frequency)s.%(variable)s'],1951-12-01T01:30:00Z,2010-12-31T22:30:00Z,['%(root)s/%(project)s/%(product)s/%(domain)s/%(institute)s/%(driving_model)s/%(experiment)s/%(ensemble)s/%(rcm_model)s/%(rcm_version)s/%(time_frequency)s/%(variable)s/%(version)s'],['EUR-11'],['CNRM-CERFACS-CNRM-CM5'],18.154968,['r1i1p1'],['historical'],"['All', 'Historical']","['ENVELOPE(-28.37503, 18.154968, 21.835, -23.375)']",['degrees'],esgf.ceda.ac.uk,cordex.output.EUR-11.MOHC.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1.HadREM3-GA7-05.v2.3hr.pr.v20201111,['MOHC'],True,cordex.output.EUR-11.MOHC.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1.HadREM3-GA7-05.v2.3hr.pr,21.835,60,['output'],['CORDEX'],['HadREM3-GA7-05'],['v2'],False,85972197952,-23.375,['3hr'],cordex.output.EUR-11.MOHC.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1.HadREM3-GA7-05.v2.3hr.pr,Dataset,['pr'],['Precipitation'],['kg m-2 s-1'],-28.37503,False,2020-12-16T17:51:54.701Z,1.0,1803477316165173248
7,cordex.output.EUR-11.MOHC.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1.HadREM3-GA7-05.v2.3hr.prc.v20201111|esgf.ceda.ac.uk,20201111,"['HTTPServer', 'OPENDAP']",['convective_precipitation_flux'],esgf.ceda.ac.uk,['cordex.%(product)s.%(domain)s.%(institute)s.%(driving_model)s.%(experiment)s.%(ensemble)s.%(rcm_name)s.%(rcm_version)s.%(time_frequency)s.%(variable)s'],1951-12-01T01:30:00Z,2010-12-31T22:30:00Z,['%(root)s/%(project)s/%(product)s/%(domain)s/%(institute)s/%(driving_model)s/%(experiment)s/%(ensemble)s/%(rcm_model)s/%(rcm_version)s/%(time_frequency)s/%(variable)s/%(version)s'],['EUR-11'],['CNRM-CERFACS-CNRM-CM5'],18.154968,['r1i1p1'],['historical'],"['All', 'Historical']","['ENVELOPE(-28.37503, 18.154968, 21.835, -23.375)']",['degrees'],esgf.ceda.ac.uk,cordex.output.EUR-11.MOHC.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1.HadREM3-GA7-05.v2.3hr.prc.v20201111,['MOHC'],True,cordex.output.EUR-11.MOHC.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1.HadREM3-GA7-05.v2.3hr.prc,21.835,60,['output'],['CORDEX'],['HadREM3-GA7-05'],['v2'],False,38175694352,-23.375,['3hr'],cordex.output.EUR-11.MOHC.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1.HadREM3-GA7-05.v2.3hr.prc,Dataset,['prc'],['Convective Precipitation'],['kg m-2 s-1'],-28.37503,False,2020-12-16T17:41:52.870Z,1.0,1803477316167270400
8,cordex.output.EUR-11.MOHC.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1.HadREM3-GA7-05.v2.3hr.ps.v20201111|esgf.ceda.ac.uk,20201111,"['HTTPServer', 'OPENDAP']",['surface_air_pressure'],esgf.ceda.ac.uk,['cordex.%(product)s.%(domain)s.%(institute)s.%(driving_model)s.%(experiment)s.%(ensemble)s.%(rcm_name)s.%(rcm_version)s.%(time_frequency)s.%(variable)s'],1951-12-01T00:00:00Z,2010-12-31T21:00:00Z,['%(root)s/%(project)s/%(product)s/%(domain)s/%(institute)s/%(driving_model)s/%(experiment)s/%(ensemble)s/%(rcm_model)s/%(rcm_version)s/%(time_frequency)s/%(variable)s/%(version)s'],['EUR-11'],['CNRM-CERFACS-CNRM-CM5'],18.154968,['r1i1p1'],['historical'],"['All', 'Historical']","['ENVELOPE(-28.37503, 18.154968, 21.835, -23.375)']",['degrees'],esgf.ceda.ac.uk,cordex.output.EUR-11.MOHC.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1.HadREM3-GA7-05.v2.3hr.ps.v20201111,['MOHC'],True,cordex.output.EUR-11.MOHC.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1.HadREM3-GA7-05.v2.3hr.ps,21.835,60,['output'],['CORDEX'],['HadREM3-GA7-05'],['v2'],False,66797433976,-23.375,['3hr'],cordex.output.EUR-11.MOHC.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1.HadREM3-GA7-05.v2.3hr.ps,Dataset,['ps'],['Surface Air Pressure'],['Pa'],-28.37503,False,2020-12-16T17:51:58.014Z,1.0,1803477316168318976
9,cordex.output.EUR-11.MOHC.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1.HadREM3-GA7-05.v2.3hr.psl.v20201111|esgf.ceda.ac.uk,20201111,"['HTTPServer', 'OPENDAP']",['air_pressure_at_sea_level'],esgf.ceda.ac.uk,['cordex.%(product)s.%(domain)s.%(institute)s.%(driving_model)s.%(experiment)s.%(ensemble)s.%(rcm_name)s.%(rcm_version)s.%(time_frequency)s.%(variable)s'],1951-12-01T00:00:00Z,2010-12-31T21:00:00Z,['%(root)s/%(project)s/%(product)s/%(domain)s/%(institute)s/%(driving_model)s/%(experiment)s/%(ensemble)s/%(rcm_model)s/%(rcm_version)s/%(time_frequency)s/%(variable)s/%(version)s'],['EUR-11'],['CNRM-CERFACS-CNRM-CM5'],18.154968,['r1i1p1'],['historical'],"['All', 'Historical']","['ENVELOPE(-28.37503, 18.154968, 21.835, -23.375)']",['degrees'],esgf.ceda.ac.uk,cordex.output.EUR-11.MOHC.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1.HadREM3-GA7-05.v2.3hr.psl.v20201111,['MOHC'],True,cordex.output.EUR-11.MOHC.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1.HadREM3-GA7-05.v2.3hr.psl,21.835,60,['output'],['CORDEX'],['HadREM3-GA7-05'],['v2'],False,47631519971,-23.375,['3hr'],cordex.output.EUR-11.MOHC.CNRM-CERFACS-CNRM-CM5.historical.r1i1p1.HadREM3-GA7-05.v2.3hr.psl,Dataset,['psl'],['Sea Level Pressure'],['Pa'],-28.37503,False,2020-12-16T17:52:01.468Z,1.0,1803477316170416128
